acno,accession,cultivar_name,sd_moved,sd_new,e_locality,cmt,sd_unique,site,ivt,whynull,origin_country,origin_province,origin_city,collector,breeder,loc1,loc2,loc3,loc4,location_field,location_greenhouse,distribute,status,alive,statcmt,plant_type,taxno,sitecmt,acp,e_pedigree,e_genus,e_species,e_subspecies,e_habita,e_cmt,e_quant,e_units,e_cform,e_plants_collected,e_released,e_datefmt,e_lath,e_latd,e_latm,e_lonh,e_lond,e_lonm,e_lons,e_lats,e_elev,family,e_breeder_or_collector,m_transfer_history,e_origin_institute,e_origin_address1,e_origin_address2,e_origin_postal_code,e_date_collected,acimpt,uniform
102742,MAL0584,Chilko,FALSE,FALSE,,,FALSE,CCG,PL,,CAN,,,,,F Main C,,,,Main C,,TRUE,AVAIL,TRUE,,apple,23261,crabapple,CN,M. pumila var. niedzwetzkyana O.P.,Malus,pumila,,,,,,,,,,,,,,,,,,,Rosacae,B,,,,,,,,
103233,MAL0587,Rousseau,FALSE,FALSE,,,FALSE,CCG,PL,,CAN,,,,,F Main C,,,,Main C,,TRUE,AVAIL,TRUE,,apple,23261,crabapple,CN,M. pumila var. niedzwetzkyana O.P.,Malus,pumila,,,,,,,,,,,,,,,,,,,Rosacae,B,,,,,,,,
103265,MAL0588,Sissipuk,FALSE,FALSE,,,FALSE,CCG,PL,,CAN,,,,,F Main D,,,,Main D,,TRUE,AVAIL,TRUE,,apple,104681,crabapple,CN,M. pumila var. niedzwetzkyana x M. baccata,Malus,domestica,,,,,,,,,,,,,,,,,,,Rosacae,B,,,,,,,,
103334,MAL0589,Tomiko,FALSE,FALSE,,,FALSE,CCG,PL,,CAN,,,,,F Main C,,,,Main C,,TRUE,AVAIL,TRUE,,apple,104681,crabapple,CN,Meach x M. pumila (M. xpurpurea cv. Eleyi),Malus,domestica,,,,,,,,,,,,,,,,,,,Rosacae,B,,,,,,,,
103252,MAL0591,Scugog,FALSE,FALSE,,,FALSE,CCG,PL,,CAN,,,,,F Main C,,,,Main C,,TRUE,AVAIL,TRUE,,apple,104681,crabapple,CN,O.P. seedling of M. pumila var. niedzwetzkyana,Malus,domestica,,,,,,,,,,,,,,,,,,,Rosacae,B,,,,,,,,
103074,MAL0592,Meach,FALSE,FALSE,,,FALSE,CCG,PL,,CAN,,,,,F Main C,,,,Main C,,TRUE,LOW,TRUE,,apple,104681,crabapple,CN,M. sieboldii x M. pumila var. niedzwetzkyana,Malus,domestica,,,,,,,,,,,,,,,,,,,Rosacae,B,,,,,,,,
102696,MAL0593,Baskatong,FALSE,FALSE,,,FALSE,CCG,PL,,CAN,,,,,F Main C,,,,Main C,,TRUE,AVAIL,TRUE,,apple,104681,crabapple,CN,Simcoe x Meach,Malus,domestica,,,,,,,,,,,,,,,,,,,Rosacae,B,,,,,,,,
102797,MAL0594,Erie,FALSE,FALSE,,,FALSE,CCG,PL,,CAN,,,,,F Main C,,,,Main C,,TRUE,AVAIL,TRUE,,apple,23261,crabapple,CN,M. pumila var. niedzwetzkyana O.P.,Malus,pumila,,,,,,,,,,,,,,,,,,,Rosacae,B,,,,,,,,
103101,MAL0595,Namew,FALSE,FALSE,,,FALSE,CCG,PL,,CAN,,,,,F Main C,,,,Main C,,TRUE,AVAIL,TRUE,,apple,104681,crabapple,CN,M. pumila var. niedzwetzkyana x M. baccata,Malus,domestica,,,,,,,,,,,,,,,,,,,Rosacae,B,,,,,,,,
103263,MAL0596,Simcoe,FALSE,FALSE,,,FALSE,CCG,PL,,CAN,,,,,F Main C,F Affleck T5,,,Main C & Affleck T5,,TRUE,AVAIL,TRUE,,apple,104681,crabapple,CN,M. baccata x M. pumila var. niedzwetzkyana,Malus,domestica,,,,,,,,,,,,,,,,,,,Rosacae,B,,,,,,,,
102752,MAL0597,Cooper's Market,FALSE,FALSE,,,FALSE,CCG,PL,,USA,,,,,F Main C,,,,Main C,,TRUE,AVAIL,TRUE,,Apple,104681,,CN,,Malus,domestica,,,,,,,,,,,,,,,,,,,Rosacae,B,,,,,,,,
102790,MAL0598,Eccles,FALSE,FALSE,,,FALSE,CCG,PL,,IRE,,,,,F Main C,,,,Main C,,TRUE,AVAIL,TRUE,,Apple,104681,,CN,,Malus,domestica,,,,,,,,,,,,,,,,,,,Rosacae,B,,,,,,,,
102788,MAL0599,Early Eldon,FALSE,FALSE,,,FALSE,CCG,PL,,CAN,,,,,F Main C,F Affleck T5,,,Main C & Affleck T5,,TRUE,AVAIL,TRUE,,Apple,104681,,CN,chance seedling,Malus,domestica,,,,,,,,,,,,,,,,,,,Rosacae,B,,,,,,,,
102889,MAL0600,Jersey Sweet,FALSE,FALSE,,,FALSE,CCG,PL,,USA,,,,,F Main C,,,,Main C,,TRUE,AVAIL,TRUE,,Apple,104681,,CN,,Malus,domestica,,,,,,,,,,,,,,,,,,,Rosacae,B,,,,,,,,
102963,MAL0601,Lyon Sweet,FALSE,FALSE,,,FALSE,CCG,PL,,CAN,,,,,F Main C,,,,Main C,,TRUE,AVAIL,TRUE,,Apple,104681,,CN,,Malus,domestica,,,,,,,,,,,,,,,,,,,Rosacae,B,,,,,,,,
103102,MAL0602,New Brunswick,FALSE,FALSE,,,FALSE,CCG,PL,,CAN,,,,,F Main C,,,,Main C,,TRUE,AVAIL,TRUE,,Apple,104681,,CN,Duchess O.P. seedling,Malus,domestica,,,,,,,,,,,,,,,,,,,Rosacae,B,,,,,,,,
103069,MAL0603,McIntosh Wijcik,FALSE,FALSE,,,FALSE,CCG,PL,,CAN,,,,,F Affleck T5,,,,Affleck T5,,TRUE,AVAIL,TRUE,,Apple,104681,,CN,bud mutation of standard McIntosh,Malus,domestica,,,,,,,,,,,,,,,,,,,Rosacae,B,,,,,,,,
103237,MAL0604,Roy - Al,FALSE,FALSE,,,FALSE,CCG,PL,,CAN,,,,,F Main C,,,,Main C,,TRUE,AVAIL,TRUE,,Apple,104681,,CN,,Malus,domestica,,,,,,,,,,,,,,,,,,,Rosacae,B,,,,,,,,
102230,MAL0608,8901,FALSE,FALSE,,,FALSE,CCG,PL,,CAN,,,,,F Main C,,,,Main C,,TRUE,AVAIL,TRUE,,Apple,104681,,CN,,Malus,domestica,,,,,,,,,,,,,,,,,,,Rosacae,B,,,,,,,,
102642,MAL0609,8902,FALSE,FALSE,,,FALSE,CCG,PL,,CAN,,,,,F Main C,,,,Main C,,TRUE,AVAIL,TRUE,,Apple,104681,,CN,,Malus,domestica,,,,,,,,,,,,,,,,,,,Rosacae,B,,,,,,,,
102643,MAL0610,8903,FALSE,FALSE,,,FALSE,CCG,PL,,CAN,,,,,F Main C,,,,Main C,,TRUE,AVAIL,TRUE,,Apple,104681,,CN,,Malus,domestica,,,,,,,,,,,,,,,,,,,Rosacae,B,,,,,,,,
102644,MAL0611,8904 (Crab#1),FALSE,FALSE,,,FALSE,CCG,PL,,CAN,,,,,F Main C,,,,Main C,,TRUE,AVAIL,TRUE,,Apple,104681,,CN,,Malus,domestica,,,,,,,,,,,,,,,,,,,Rosacae,B,,,,,,,,
102645,MAL0612,8905,FALSE,FALSE,,,FALSE,CCG,PL,,CAN,,,,,F Main C,,,,Main C,,TRUE,AVAIL,TRUE,,Apple,104681,,CN,,Malus,domestica,,,,,,,,,,,,,,,,,,,Rosacae,B,,,,,,,,
102646,MAL0613,Norlove,FALSE,FALSE,,,FALSE,CCG,PL,,CAN,,,,,F Main C,,,,Main C,,TRUE,AVAIL,TRUE,,Apple,104681,,CN,,Malus,domestica,,,,,,,,,,,,,,,,,,,Rosacae,B,,,,,,,,
102647,MAL0614,Norrusset,FALSE,FALSE,,,FALSE,CCG,PL,,CAN,,,,,F Main C,,,,Main C,,TRUE,AVAIL,TRUE,,Apple,104681,,CN,,Malus,domestica,,,,,,,,,,,,,,,,,,,Rosacae,B,,,,,,,,
102648,MAL0617,8910,FALSE,FALSE,,,FALSE,CCG,PL,,CAN,,,,,F Main C,,,,Main C,,TRUE,AVAIL,TRUE,,Apple,104681,,CN,,Malus,domestica,,,,,,,,,,,,,,,,,,,Rosacae,B,,,,,,,,
102649,MAL0618,8911,FALSE,FALSE,,,FALSE,CCG,PL,,CAN,,,,,F Main C,,,,Main C,,TRUE,AVAIL,TRUE,,Apple,104681,,CN,,Malus,domestica,,,,,,,,,,,,,,,,,,,Rosacae,B,,,,,,,,
102650,MAL0619,Norjus,FALSE,FALSE,,,FALSE,CCG,PL,,CAN,,,,,F Main C,,,,Main C,,TRUE,AVAIL,TRUE,,Apple,104681,,CN,,Malus,domestica,,,,,,,,,,,,,,,,,,,Rosacae,B,,,,,,,,
102651,MAL0620,8913,FALSE,FALSE,,,FALSE,CCG,PL,,CAN,,,,,F Main C,,,,Main C,,TRUE,AVAIL,TRUE,,Apple,104681,,CN,,Malus,domestica,,,,,,,,,,,,,,,,,,,Rosacae,B,,,,,,,,
102652,MAL0621,8914,FALSE,FALSE,,,FALSE,CCG,PL,,CAN,,,,,F Main C,,,,Main C,,TRUE,AVAIL,TRUE,,Apple,104681,,CN,,Malus,domestica,,,,,,,,,,,,,,,,,,,Rosacae,B,,,,,,,,
102653,MAL0622,8915,FALSE,FALSE,,,FALSE,CCG,PL,,CAN,,,,,F Main C,,,,Main C,,TRUE,AVAIL,TRUE,,Apple,104681,,CN,,Malus,domestica,,,,,,,,,,,,,,,,,,,Rosacae,B,,,,,,,,
102654,MAL0623,8916,FALSE,FALSE,,,FALSE,CCG,PL,,CAN,,,,,F Main C,,,,Main C,,TRUE,AVAIL,TRUE,,Apple,104681,,CN,,Malus,domestica,,,,,,,,,,,,,,,,,,,Rosacae,B,,,,,,,,
102655,MAL0624,Norbil,FALSE,FALSE,,,FALSE,CCG,PL,,CAN,,,,,F Main C,,,,Main C,,TRUE,AVAIL,TRUE,,Apple,104681,,CN,,Malus,domestica,,,,,,,,,,,,,,,,,,,Rosacae,B,,,,,,,,
102656,MAL0625,Norbil 2,FALSE,FALSE,,,FALSE,CCG,PL,,CAN,,,,,F Main C,,,,Main C,,TRUE,AVAIL,TRUE,,Apple,104681,,CN,,Malus,domestica,,,,,,,,,,,,,,,,,,,Rosacae,B,,,,,,,,
102657,MAL0626,8919,FALSE,FALSE,,,FALSE,CCG,PL,,CAN,,,,,F Main C,,,,Main C,,TRUE,AVAIL,TRUE,,Apple,104681,,CN,,Malus,domestica,,,,,,,,,,,,,,,,,,,Rosacae,B,,,,,,,,
102658,MAL0627,8920,FALSE,FALSE,,,FALSE,CCG,PL,,CAN,,,,,F Main C,,,,Main C,,TRUE,AVAIL,TRUE,,Apple,104681,,CN,Antonovka,Malus,domestica,,,,,,,,,,,,,,,,,,,Rosacae,B,,,,,,,,
102659,MAL0628,8921,FALSE,FALSE,,,FALSE,CCG,PL,,CAN,,,,,F Main C,,,,Main C,,TRUE,AVAIL,TRUE,,Apple,104681,,CN,,Malus,domestica,,,,,,,,,,,,,,,,,,,Rosacae,B,,,,,,,,
102660,MAL0629,8922,FALSE,FALSE,,,FALSE,CCG,PL,,CAN,,,,,F Main C,,,,Main C,,TRUE,AVAIL,TRUE,,Apple,104681,,CN,,Malus,domestica,,,,,,,,,,,,,,,,,,,Rosacae,B,,,,,,,,
103242,MAL0630,Russian Transparent,FALSE,FALSE,,,FALSE,CCG,PL,,FSR,,,,,F Main C,,,,Main C,,TRUE,AVAIL,TRUE,,Apple,104681,,CN,,Malus,domestica,,,,,,,,,,,,,,,,,,,Rosacae,B,,,,,,,,
102681,MAL0631,Arnold's Beauty,FALSE,FALSE,,,FALSE,CCG,PL,,CAN,,,,,F Main C,,,,Main C,,TRUE,AVAIL,TRUE,,Apple,104681,,CN,N. Spy x Wagener or Esopus Spitzenberg,Malus,domestica,,,,,,,,,,,,,,,,,,,Rosacae,B,,,,,,,,
102983,MAL0632,,FALSE,FALSE,"found 1 mile SW of Thamesville, Kent Co., Ont., Canada",,FALSE,INACTIVE,SD,,CAN,,,,,O Freezer,,,,,,FALSE,NO-ACC,FALSE,,Apple,23225,,CN,native North American species,Malus,coronaria,,,,,,,,,,,,,,,,,,,Rosacae,,,,,,,,,
